d2 phi1 phi2 r1 r2
0.0039 0.38999999999999996 70.11 1.8755 1.8835
0.041100000000000005 29.97 65.43 1.8005 2.1565
0.17309999999999998 27.39 75.51 2.1864999999999997 2.1624999999999996
0.1503 20.490000000000002 60.87 1.9045 2.2405
0.017699999999999997 27.150000000000002 87.93 1.8185 1.9525
0.1143 15.450000000000001 89.85 2.0875 2.2415
0.21689999999999998 11.31 87.33 2.2954999999999997 1.8605
0.0885 8.79 69.87 2.2914999999999996 2.1485
0.0135 2.97 62.55 2.1235 2.2754999999999996
0.25529999999999997 22.71 88.35 1.8235000000000001 1.9125
0.0321 0.87 79.11 1.9405000000000001 2.0945
0.0069 23.25 60.45 2.1595 1.8475
0.2355 25.89 80.31 2.2295 1.9135
0.2955 25.47 71.97 1.9645 2.2725
0.14309999999999998 21.27 71.91 1.8355000000000001 1.8795
0.0663 24.869999999999997 84.93 2.1435 2.1774999999999998
0.2973 21.93 79.23 1.9735 2.1965
0.0141 12.87 73.29 2.2255 2.1145
0.2691 20.01 60.33 2.0005 1.8875
0.25889999999999996 5.010000000000001 89.49 2.0275 1.8255000000000001
0.16949999999999998 2.5500000000000003 71.79 2.2435 2.1094999999999997
0.20669999999999997 15.33 78.63 2.1094999999999997 1.8335000000000001
0.0243 14.97 83.85 2.2195 1.9365
0.1935 26.19 76.83 2.0355 2.0385
0.1059 29.55 71.73 2.1574999999999998 2.2914999999999996
0.0447 2.91 70.23 1.8035 2.2394999999999996
0.25589999999999996 9.93 70.77 2.0845 2.2205
0.10709999999999999 1.1099999999999999 76.05 2.2714999999999996 2.0495
0.1533 24.75 86.61 1.9155 2.1355
0.0165 23.85 77.91 1.8125 2.2445
0.1275 3.57 61.35 1.8255000000000001 2.2794999999999996
0.1401 12.69 71.37 1.9055 2.2904999999999998
0.0483 9.75 89.67 1.8975 2.2874999999999996
0.0363 8.190000000000001 67.47 1.8345 1.8185
0.0032999999999999995 22.05 83.97 2.0604999999999998 2.1975
0.0003 2.61 80.25 2.0204999999999997 1.9925
0.0603 4.29 60.03 2.0915 2.1685
0.0231 3.0300000000000002 66.75 1.8115 2.0604999999999998
0.1119 0.63 61.23 2.1405 1.8035
0.0189 28.65 87.09 1.9275 1.8625
0.0561 5.55 82.28999999999999 1.8065 2.2515
0.2031 12.51 70.53 1.8505 2.2095
0.1383 21.75 77.78999999999999 2.1174999999999997 1.8025
0.1203 26.07 77.31 2.0235 2.2135
0.09269999999999999 18.15 78.03 1.8435 1.8415
0.1023 29.43 70.17 1.9485 2.1675
0.1857 25.169999999999998 61.77 1.8705 2.0355
0.2511 22.47 88.95 2.0905 2.0845
0.0549 12.45 88.77 1.8765 1.8325
0.25229999999999997 8.370000000000001 74.55 2.2565 2.2714999999999996
0.10110000000000001 5.43 83.37 2.2824999999999998 1.8235000000000001
0.0081 3.81 80.91 2.2155 1.8885
0.1149 8.25 72.75 2.2975 2.2765
0.24330000000000002 28.229999999999997 63.93 1.8175000000000001 2.2384999999999997
0.2535 29.31 60.15 1.8465 1.8865
0.2259 3.39 88.47 2.0745 2.1065
0.0117 21.029999999999998 63.45 2.1325 2.1745
0.18209999999999998 23.19 69.03 1.8015 2.0524999999999998
0.1137 27.330000000000002 63.99 1.8675 2.2464999999999997
0.1083 0.44999999999999996 89.97 2.1305 2.1214999999999997
0.2181 20.610000000000003 82.35 1.8105 1.9895
0.042899999999999994 12.389999999999999 61.53 2.1014999999999997 2.2005
0.07229999999999999 24.150000000000002 80.37 1.8335000000000001 1.9315
0.20789999999999997 5.61 78.87 2.2285 2.1115
0.29309999999999997 13.89 60.51 2.2015 2.0204999999999997
0.16770000000000002 21.39 82.47 2.2615 1.9025
0.2805 21.99 77.67 2.1605 2.0125
0.0123 12.57 62.61 1.9165 1.8425
0.047099999999999996 7.109999999999999 85.89 2.2895 1.9615
0.0051 9.81 79.77 2.0065 2.0705
0.0843 29.79 81.93 1.9015 2.2055
0.1395 1.2899999999999998 81.39 2.1725 2.0364999999999998
0.11309999999999999 12.99 88.59 1.9615 1.8965
0.20550000000000002 22.77 71.43 2.2815 1.9705
0.1635 15.03 79.71000000000001 2.2315 1.8135000000000001
0.2703 26.31 66.81 2.2645 1.9495
0.0297 22.169999999999998 89.13 1.9935 2.0095
0.2961 2.19 63.69 1.9205 2.2355
0.2175 26.13 67.35 2.1534999999999997 2.2925
0.2823 9.03 80.85 2.0324999999999998 2.2864999999999998
0.2403 17.189999999999998 87.21000000000001 2.1935 2.0484999999999998
0.1887 9.09 72.93 2.0145 1.9465
0.0981 4.71 73.11 2.1814999999999998 2.1895
0.0579 27.93 72.87 2.1905 2.1174999999999997
0.0207 19.17 86.19 1.9365 1.8915
0.0735 11.129999999999999 76.29 1.9875 2.1755
0.1785 7.95 61.41 2.1525 1.8595
0.0783 12.93 64.29 2.2275 1.8855
0.29669999999999996 8.729999999999999 76.35 1.9145 2.1715
0.0675 20.729999999999997 86.49000000000001 1.8385 2.0335
0.08370000000000001 6.090000000000001 82.65 2.1275 2.0934999999999997
0.0225 8.67 84.33 1.8995 2.1795
0.08969999999999999 20.669999999999998 69.39 2.0854999999999997 1.9985
0.2163 0.57 83.07 2.2224999999999997 1.9304999999999999
0.11549999999999999 6.33 88.71 2.0435 2.0665
0.24509999999999998 21.209999999999997 88.83 2.2104999999999997 2.2944999999999998
0.2235 6.39 89.78999999999999 2.1185 2.2325
0.06149999999999999 5.8500000000000005 72.27 1.9005 1.9205
0.1179 2.49 85.59 1.9835 1.8725
0.1653 1.17 89.07 1.9655 2.0465
0.0987 11.850000000000001 82.59 2.1294999999999997 2.2315
0.1281 8.31 89.43 2.2685 2.1405
0.24749999999999997 26.67 80.97 1.9285 2.0284999999999997
0.1665 29.37 70.35 1.9215 2.2645
0.1017 17.369999999999997 75.39 2.2584999999999997 1.8665
0.051300000000000005 16.11 68.25 1.8565 1.8685
0.1755 10.05 63.33 1.8085 2.2424999999999997
0.1737 20.43 60.99 2.2184999999999997 1.8095
0.2343 27.87 82.23 1.8145 1.8705
0.1095 10.35 89.19 1.8685 2.1905
0.17909999999999998 16.650000000000002 86.43 2.0215 1.9075
0.1527 26.73 83.25 1.8605 2.2605
0.20370000000000002 25.77 65.13 1.9264999999999999 2.1885
0.0375 20.849999999999998 87.03 1.8615 2.2744999999999997
0.1803 9.45 77.97 1.8875 2.2064999999999997
0.2427 8.13 80.01 2.0625 2.1635
0.0591 0.51 75.63 2.0795 1.8905
0.16290000000000002 4.95 71.85 1.8205 2.1374999999999997
0.021299999999999996 28.77 79.95 2.1205 1.9275
0.2625 20.97 61.71 1.8545 1.9095
0.2013 1.05 84.57 2.1774999999999998 2.2544999999999997
0.024900000000000002 8.01 69.75 2.0025 2.0555
0.28469999999999995 10.23 69.69 1.9344999999999999 2.2984999999999998
0.2709 26.490000000000002 83.13 2.0535 1.9485
0.1989 26.85 78.69 1.9515 2.2895
0.2895 10.709999999999999 84.27000000000001 2.0675 1.8315000000000001
0.0009 20.91 64.95 2.0345 2.0415
0.14129999999999998 16.290000000000003 75.75 1.8295000000000001 1.9785
0.027899999999999998 23.790000000000003 77.61 1.9245 2.0015
0.033299999999999996 14.43 82.41 1.8165 2.2375
0.0183 6.75 67.71 2.0995 2.1805
0.28769999999999996 11.01 82.89 2.2784999999999997 1.8275000000000001
0.2361 12.27 81.50999999999999 1.8275000000000001 2.0005
0.0315 7.17 72.51 2.0825 1.8265
0.24929999999999997 0.15 88.89 2.2944999999999998 1.9865
0.2313 19.35 78.39 1.8915 2.1435
0.10469999999999999 13.950000000000001 83.61 1.8885 2.1005
0.2607 25.29 69.51 2.0965 2.1875
0.2991 10.17 76.71000000000001 2.2095 1.8975
0.0453 14.19 71.19 1.9985 1.9635
0.0555 17.849999999999998 78.57 1.8495 2.0564999999999998
0.1497 0.99 63.15 1.9725 2.2675
0.09029999999999999 19.650000000000002 88.11 1.9585 2.1454999999999997
0.2253 17.31 89.91 2.0295 2.2525
0.2985 9.27 76.95 2.2115 2.1134999999999997
0.026099999999999998 14.61 85.35 2.0645 2.2565
0.0813 15.870000000000001 83.01 1.9625 2.2554999999999996
0.2655 23.970000000000002 74.07 1.8365 2.2655
0.0507 28.83 63.75 2.2935 2.1265
0.1941 25.41 68.97 2.2624999999999997 2.1334999999999997
0.0381 29.25 85.28999999999999 2.2855 2.1025
0.2319 2.31 74.25 2.0595 1.8645
0.1263 4.83 61.95 1.9375 1.8295000000000001
0.058499999999999996 12.209999999999999 83.55 2.1854999999999998 1.8115
0.20909999999999998 7.35 88.22999999999999 2.2554999999999996 2.1825
0.12449999999999999 3.21 83.79 2.2064999999999997 2.2085
0.1353 4.7700000000000005 86.25 2.1614999999999998 1.8455
0.2889 27.69 74.91 1.8225 1.9815
0.2307 1.83 79.47 1.8655 2.0275
0.1953 28.29 65.37 2.0564999999999998 2.1445
0.2811 16.95 72.15 2.2634999999999996 1.9995
0.035699999999999996 25.23 81.75 2.2994999999999997 1.9605
0.08070000000000001 21.689999999999998 61.65 2.2005 1.9105
0.2397 17.549999999999997 82.77 2.0985 2.2885
0.0339 8.85 85.53 1.9925 1.9765
0.026699999999999998 2.85 66.63 2.1734999999999998 1.8895
0.2043 23.310000000000002 62.25 2.2704999999999997 1.9295
0.08789999999999999 3.27 72.99 1.9805 2.0324999999999998
0.07529999999999999 5.67 61.17 1.8665 1.9735
0.1551 13.59 69.63 2.2445 2.2224999999999997
0.13169999999999998 2.79 60.81 2.0735 2.0785
0.1671 9.870000000000001 81.27 2.2474999999999996 2.2075
0.23249999999999998 18.81 85.17 2.2904999999999998 2.2015
0.08489999999999999 28.529999999999998 69.33 2.2725 2.2184999999999997
0.2289 14.129999999999999 70.29 1.8425 2.0535
0.0351 21.45 81.45 2.0395 1.9355
0.1089 8.549999999999999 62.31 1.9605 2.1985
0.1851 5.31 79.05 2.1694999999999998 1.8465
0.04409999999999999 8.969999999999999 60.21 1.8965 2.0915
0.21209999999999998 24.99 73.41 1.9965 2.1915
0.2595 23.07 71.07 1.8315000000000001 2.1315
0.1167 0.9299999999999999 67.65 2.0524999999999998 1.8435
0.0417 1.71 74.78999999999999 2.1265 2.0545
0.19770000000000001 12.15 84.21000000000001 1.8825 1.8925
0.22169999999999998 29.189999999999998 80.55 2.1635 2.0795
0.1323 14.37 83.43 2.2355 2.0885
0.1161 4.41 77.13 1.9315 2.1704999999999997
0.0699 17.91 75.69 1.8245 2.2045
0.0747 4.47 65.49 1.8695 2.1555
0.0945 19.23 84.75 2.1345 1.8345
0.2391 16.41 87.99000000000001 1.9235 1.8195000000000001
0.1767 3.45 82.05 1.9635 2.1195
0.17729999999999999 9.57 86.07 2.1985 2.0145
0.0639 18.27 80.07 1.9705 2.1294999999999997
0.18689999999999998 22.59 81.03 2.0305 2.1784999999999997
0.1455 27.09 80.72999999999999 2.2485 1.8055
0.1473 23.55 81.15 2.1395 2.2935
0.1299 8.489999999999998 67.29 2.0084999999999997 1.8935
0.0573 22.23 70.95 1.9035 2.1525
0.21509999999999999 24.93 80.43 2.2765 2.2575
0.1893 28.05 74.85 2.0925 1.8615
0.1845 28.41 84.50999999999999 2.2344999999999997 2.1654999999999998
0.29969999999999997 14.73 75.09 2.1085 2.2784999999999997
0.2583 15.15 81.57 1.9445 2.2344999999999997
0.0525 27.75 79.35 1.9525 1.8495
0.1827 9.33 73.77 2.1045 2.1595
0.1863 1.8900000000000001 78.81 1.8895 1.8145
0.0795 29.669999999999998 85.47 2.0375 1.8385
0.0327 7.83 83.49000000000001 2.1555 1.9845
0.0435 20.37 72.81 1.9555 1.8715
0.17789999999999997 27.57 64.35 2.2075 2.0225
0.0345 23.01 66.03 2.2365 2.2495
0.1293 8.430000000000001 76.59 1.8715 1.9325
0.0939 7.7700000000000005 84.63 2.0775 1.9215
0.0975 21.63 87.39 2.0484999999999998 1.9455
0.2571 28.709999999999997 61.83 2.2575 2.1515
0.1929 17.43 73.59 2.0135 2.2584999999999997
0.1971 25.59 81.99 2.0265 1.8825
0.14609999999999998 13.23 80.78999999999999 2.0835 1.9505
0.0015 24.689999999999998 73.05 2.2045 1.8445
0.11069999999999999 0.75 77.07 1.8775 1.8745
0.051899999999999995 24.270000000000003 89.55 2.1765 1.8105
0.1359 26.43 65.91 2.1134999999999997 2.2264999999999997
0.1707 0.69 71.49 1.8395000000000001 1.9015
0.17009999999999997 15.81 80.19 2.1515 2.2455
0.1557 6.1499999999999995 69.15 2.2775 1.8805
0.0291 24.09 64.05 1.8415 2.0435
0.2913 14.309999999999999 81.81 1.9175 1.8565
0.1191 2.0700000000000003 67.59 1.9785 2.1305
0.24449999999999997 27.51 68.37 1.8635 2.0235
0.20969999999999997 8.07 84.15 2.0815 1.9195
0.2739 23.73 74.19 1.9715 2.0715
0.2367 6.99 64.47 2.0315 2.1035
0.2925 3.63 64.17 2.1565 2.1734999999999998
0.24989999999999998 6.21 89.37 2.1955 2.0135
0.053099999999999994 25.349999999999998 65.55 2.0975 1.8985
0.0789 27.21 62.97 1.9095 2.1225
0.21869999999999998 16.59 66.45 2.2655 2.2845
0.16590000000000002 16.770000000000003 77.37 1.9304999999999999 2.0685
0.18089999999999998 11.49 60.09 2.2695 1.9155
0.2373 23.13 62.37 2.1784999999999997 2.0825
0.1485 24.57 88.28999999999999 2.1254999999999997 2.0164999999999997
0.0609 6.45 71.13 2.1115 1.9565
0.1311 27.03 87.63 2.1665 1.8225
0.062099999999999995 16.71 73.83 2.1755 2.0265
0.1215 23.91 64.41 1.9975 2.0475
0.12569999999999998 12.030000000000001 72.45 2.1365 1.9885
0.2799 19.11 82.17 2.1425 2.1245
0.24569999999999997 6.63 65.85 1.8445 2.2704999999999997
0.1641 16.470000000000002 67.95 2.2415 1.9775
0.21389999999999998 13.83 60.39 2.2525 2.1935
0.06509999999999999 21.33 64.89 2.0045 2.1475
0.17189999999999997 26.91 80.67 2.2834999999999996 2.0505
0.2943 18.93 66.99 2.1195 1.9695
0.2331 15.75 60.57 2.2864999999999998 1.8245
0.1305 14.010000000000002 65.01 2.2394999999999996 2.0995
0.1623 5.07 67.53 2.0585 2.2125
0.1647 13.290000000000001 66.15 2.0755 2.2474999999999996
0.2787 10.110000000000001 84.09 2.1585 1.9415
0.0537 26.79 70.47 2.1965 1.9595
0.1377 9.209999999999999 65.07 2.1995 1.9645
0.26789999999999997 1.3499999999999999 73.95 2.1885 2.2295
0.1593 5.970000000000001 68.01 1.8215000000000001 1.8065
0.1959 2.73 76.17 1.9845 2.0215
0.2757 12.75 62.13 2.0055 2.0035
0.2745 15.57 77.49 2.2165 2.2035
0.18389999999999998 12.629999999999999 67.41 2.0895 1.8205
0.0399 16.23 68.31 2.0885 2.1085
0.12329999999999999 27.27 72.21 2.0655 2.0755
0.20070000000000002 17.07 78.09 2.2455 2.1395
0.2115 14.49 82.95 1.9775 2.1205
0.1251 15.930000000000001 68.73 1.9755 1.9545
0.1947 29.61 77.55 1.9075 1.9005
0.08729999999999999 11.43 68.55 2.1355 2.1854999999999998
0.2547 6.930000000000001 60.69 2.1005 1.9795
0.2613 13.05 62.07 1.9905 1.8085
0.2061 18.990000000000002 68.07 2.1454999999999997 2.2144999999999997
0.15990000000000001 15.27 60.63 1.9425 2.0295
0.28409999999999996 10.95 81.21 1.9745 2.0775
0.2385 25.83 72.69 1.8725 1.8395000000000001
0.08669999999999999 19.89 67.23 2.1475 2.2024999999999997
0.1335 23.43 66.69 2.0425 1.8165
0.2145 22.41 67.83 1.9675 1.8585
0.2409 16.53 75.33 1.8935 1.8695
0.0171 22.830000000000002 74.43 2.0695 1.8125
0.22469999999999998 4.53 66.27 1.9025 1.8375000000000001
0.2577 6.27 68.67 1.9795 1.9344999999999999
0.2751 16.889999999999997 65.61 2.1944999999999997 1.8285
0.1173 27.990000000000002 80.49000000000001 2.1214999999999997 1.8845
0.0969 28.59 82.83 2.2384999999999997 2.0175
0.0021 17.13 76.11 2.1494999999999997 1.8755
0.1419 19.830000000000002 73.53 2.1165 2.2215
0.0597 22.65 77.73 2.1875 1.9065
0.11249999999999999 10.59 60.75 2.0335 2.0425
0.1833 20.55 83.19 2.0555 2.0455
0.1371 18.63 73.35 2.0105 1.8485
0.18989999999999999 5.25 72.63 1.8305 2.2735
0.24389999999999998 19.950000000000003 69.45 1.8795 1.9575
0.2853 0.26999999999999996 77.00999999999999 2.1505 2.1045
0.2601 9.99 69.57 2.2664999999999997 2.1105
0.1905 19.53 77.19 1.9995 1.9405000000000001
0.2205 2.13 74.67 2.0715 2.1254999999999997
0.0915 3.93 67.89 2.1675 2.0585
0.29069999999999996 11.25 68.19 2.1825 1.9745
0.1005 26.61 75.21000000000001 2.2874999999999996 2.0515
0.2337 1.23 69.81 1.8485 2.1814999999999998
0.1185 25.71 75.45 2.1624999999999996 1.9875
0.1797 8.61 64.23 2.0805 2.0025
0.20729999999999998 17.73 65.73 2.2605 2.1014999999999997
0.1113 18.75 73.65 2.0255 2.1235
0.28709999999999997 18.21 71.61 2.0545 2.1275
0.22649999999999998 13.530000000000001 64.59 2.1464999999999996 2.0625
0.1611 2.25 70.83 2.1245 2.0105
0.2835 17.25 68.49 1.9575 1.8675
0.2685 13.17 68.85 2.0765 1.8305
0.2481 19.77 73.47 2.0385 1.8155000000000001
0.2919 24.330000000000002 74.49 1.9685 1.9175
0.2271 16.17 76.23 2.1145 2.1165
0.1407 18.57 76.89 2.1155 2.0375
0.2505 1.5899999999999999 69.09 1.9535 2.0875
0.2781 14.67 86.97 2.0475 2.0155
0.2349 5.37 66.87 2.1654999999999998 2.0805
0.1983 1.77 71.55 2.1835 1.8785
0.2883 13.11 79.28999999999999 2.1035 2.0345
0.24689999999999998 1.47 70.71 2.0685 2.0055
0.21989999999999998 7.890000000000001 71.01 2.1445 1.9655
0.2769 17.79 76.41 2.0515 1.9375
0.2085 15.39 74.31 2.1055 1.9805
