d12 phi1 psi r1
0.061 131.58 40.949999999999996 2.1325
0.0118 142.02 67.83 1.9715
0.04020000000000001 166.98000000000002 38.290000000000006 2.0945
0.0166 142.74 62.79 1.8585
0.0174 176.7 56.35 1.9495
0.0374 146.7 48.65 1.8765
0.09300000000000001 167.1 23.73 2.0345
0.1246 163.98 13.51 2.1864999999999997
0.18460000000000001 150.06 59.29 1.8015
0.12340000000000001 172.01999999999998 52.85 2.2664999999999997
0.0666 156.66 32.690000000000005 2.1715
0.0366 136.38 0.49 2.1905
0.11140000000000001 142.86 50.61 2.2595
0.07540000000000001 171.06 41.23 2.0095
0.0482 149.1 37.59 2.2695
0.1282 130.38 3.43 2.2645
0.1734 127.14 0.9099999999999999 2.0324999999999998
0.060200000000000004 151.02 15.19 2.1014999999999997
0.149 122.34 58.87 2.2405
0.006200000000000001 135.42 39.83 2.2205
0.067 175.74 65.59 1.8835
0.06620000000000001 159.3 64.89 1.8205
0.045000000000000005 122.1 55.510000000000005 2.1045
0.023400000000000004 124.38 52.01 1.8285
0.1482 138.06 51.87 2.2095
0.13460000000000003 121.5 39.13 1.9184999999999999
0.1018 177.78 50.19 2.0244999999999997
0.028999999999999998 151.5 1.33 2.2024999999999997
0.0582 124.5 33.81 1.8665
0.1146 157.14 41.65 1.9445
0.1738 125.94 10.99 2.2394999999999996
0.1454 132.54 38.150000000000006 2.2325
0.1194 142.14 61.81 1.8385
0.10220000000000001 168.66 38.99 1.8275000000000001
0.1746 175.26 7.35 1.8785
0.0006000000000000001 140.82 45.71 1.9455
0.0414 146.94 43.05 2.0854999999999997
0.013800000000000002 175.62 15.47 2.0545
0.133 121.98 43.89 2.1574999999999998
0.1874 166.38 37.45 2.2515
0.0246 150.42000000000002 59.57 1.9304999999999999
0.0018 120.18 23.17 2.1805
0.014199999999999999 126.66 31.85 1.8705
0.12940000000000002 134.34 0.63 2.0535
0.101 153.06 0.7699999999999999 2.0425
0.07980000000000001 141.06 41.51 2.0385
0.15380000000000002 137.34 8.89 2.1285
0.0822 160.98000000000002 22.05 1.8405
0.0282 128.58 42.21 1.9555
0.039400000000000004 171.42000000000002 63.49 2.1485
0.011000000000000001 123.42 58.169999999999995 1.9475
0.137 123.54 30.03 2.2794999999999996
0.19940000000000002 153.54000000000002 29.61 1.8755
0.0078000000000000005 135.54 55.370000000000005 2.2605
0.07700000000000001 146.58 16.310000000000002 1.9235
0.1526 154.01999999999998 45.85 1.9825
0.199 178.62 50.89 1.9245
0.0918 177.54 47.53 1.8605
0.10020000000000001 150.18 47.67 2.1614999999999998
0.040600000000000004 160.02 20.79 1.9285
0.10740000000000001 131.1 33.67 1.8825
0.10820000000000002 139.02 69.37 2.2754999999999996
0.0094 139.5 19.81 1.8465
0.08660000000000001 120.54 44.17 2.1085
0.056999999999999995 157.98000000000002 10.01 2.2165
0.005000000000000001 178.74 6.65 1.8065
0.10300000000000001 175.14 7.07 2.0905
0.050600000000000006 179.46 11.97 1.9985
0.1898 142.62 59.01 2.1155
0.1938 133.38 49.769999999999996 2.0615
0.015 135.78 24.01 2.2714999999999996
0.1134 163.5 62.51 2.1435
0.1962 126.54 52.29 1.8905
0.1442 164.82 4.55 2.2815
0.1926 145.62 18.13 1.8295000000000001
0.07740000000000001 139.14 65.03 1.8125
0.18500000000000003 179.1 10.43 1.9735
0.143 176.82 43.47 1.8075
0.026600000000000002 173.82 46.27 2.0455
0.0702 162.66 52.71 1.8715
0.009800000000000001 175.38 65.31 1.8725
0.17820000000000003 174.54 29.75 1.8435
0.11259999999999999 167.82 58.309999999999995 1.8495
0.1206 143.58 7.21 1.8955
0.004200000000000001 145.02 2.0300000000000002 1.8545
0.1946 160.74 11.27 1.9925
0.0614 145.74 9.73 2.1885
0.0354 122.82 3.71 2.2485
0.11299999999999999 170.46 44.870000000000005 1.9295
0.10540000000000001 121.74 68.95 1.8795
0.0146 134.22 43.33 1.8475
0.0442 177.3 39.69 2.2615
0.0842 173.7 19.53 1.9535
0.0422 122.94 69.09 1.9005
0.19740000000000002 130.74 45.15 2.2055
0.1386 170.7 61.67 2.0785
0.1434 136.14 31.43 2.1374999999999997
0.0454 137.82 1.6099999999999999 2.0084999999999997
0.025800000000000003 154.86 26.810000000000002 2.2914999999999996
0.15940000000000001 129.42 48.51 2.2925
0.1174 131.82 47.39 2.1094999999999997
0.0342 123.18 40.39 2.0715
0.0074 170.57999999999998 59.43 2.0865
0.18220000000000003 131.94 6.51 1.8505
0.1666 177.18 69.51 1.9115
0.031 168.78 7.63 2.2895
0.0878 120.3 57.05 1.9315
0.0734 175.98000000000002 57.61 1.9675
0.1918 140.46 37.870000000000005 2.1075
0.17900000000000002 167.22 46.830000000000005 1.9885
0.0106 178.14 14.629999999999999 1.8945
0.0058000000000000005 133.62 10.709999999999999 2.1035
0.003 125.82 60.69 2.1944999999999997
0.0182 136.98 62.65 2.1645
0.08860000000000001 135.66 4.41 1.8895
0.1978 138.42 9.59 2.0444999999999998
0.0646 159.78 34.089999999999996 2.0364999999999998
0.0154 179.94 48.79 2.2255
0.0038 152.58 21.349999999999998 2.1165
0.19820000000000002 141.42 31.29 2.2005
0.027800000000000005 156.06 54.95 1.8265
0.021 122.46 67.69 2.0765
0.0238 160.14 68.25 2.1854999999999998
0.0082 146.1 38.71 1.8445
0.013000000000000001 154.98 60.269999999999996 2.0575
0.031400000000000004 129.78 66.71 1.9945
0.09100000000000001 142.5 3.01 2.2544999999999997
0.06860000000000001 168.9 49.209999999999994 2.2704999999999997
0.047 125.1 1.05 1.9325
0.0294 155.57999999999998 8.33 1.9705
0.0742 121.62 18.69 2.2675
0.1638 167.58 63.77 1.9815
0.1602 178.38 23.450000000000003 2.1525
0.13340000000000002 176.45999999999998 14.21 1.8215000000000001
0.1402 179.34 41.089999999999996 2.0985
0.1922 154.74 40.809999999999995 2.2855
0.09140000000000001 179.82 51.31 2.2874999999999996
0.0942 154.14 32.550000000000004 2.2445
0.0758 156.3 66.57 2.1115
0.05620000000000001 176.22 48.37 1.8055
0.063 164.34 0.21 1.9645
0.016200000000000003 142.26 7.91 2.2954999999999997
0.1394 164.7 69.93 2.2864999999999998
0.135 171.78 29.89 1.8675
0.12860000000000002 165.66 8.61 1.8575
0.0938 173.94 18.41 1.8365
0.0102 164.46 54.39 2.0015
0.18300000000000002 147.18 69.23 1.8775
0.0998 140.22 9.17 2.0555
0.0158 144.54 49.07 2.2045
0.195 168.06 59.99 1.9155
0.0898 124.86 5.109999999999999 2.0035
0.038200000000000005 154.38 20.369999999999997 2.0265
0.0586 167.7 55.93 2.0375
0.1758 150.66 4.69 1.8925
0.006600000000000001 158.82 41.79 2.0755
0.1202 130.02 52.99 2.2685
0.0262 148.5 15.33 2.2245
0.0534 156.42000000000002 43.19 1.8225
0.0718 147.54 17.85 1.8175000000000001
0.1854 160.5 16.87 1.8855
0.049800000000000004 128.7 21.49 1.8245
0.13540000000000002 177.9 62.230000000000004 1.8565
0.19140000000000001 125.7 34.51 2.2784999999999997
0.11220000000000002 166.02 25.41 2.2824999999999998
0.018600000000000002 165.42000000000002 20.509999999999998 2.2584999999999997
0.1186 128.22 31.57 2.0835
0.097 147.9 53.83 1.9205
0.0378 143.22 28.07 2.2144999999999997
0.1634 144.9 13.23 2.2904999999999998
0.1466 125.34 19.95 2.1464999999999996
0.12660000000000002 149.57999999999998 64.47 2.1395
0.0494 178.5 56.49 2.2535
0.0318 176.57999999999998 26.39 2.1305
0.0198 149.22 54.67 2.2965
0.0954 166.5 62.09 2.0115
0.0086 153.9 44.59 1.9165
0.17220000000000002 145.14 19.110000000000003 1.9215
0.11020000000000002 123.66 17.990000000000002 1.8025
0.0446 165.18 63.910000000000004 1.9365
0.1622 144.42 69.79 2.0505
0.1014 153.66 55.790000000000006 1.8115
0.027400000000000004 169.26 6.930000000000001 1.9955
0.15700000000000003 133.86 64.61 1.8625
0.017 132.9 6.09 1.9344999999999999
0.03900000000000001 169.5 57.75 1.8485
0.1162 121.86 17.57 2.2575
0.1698 132.18 64.33 2.2634999999999996
0.0838 177.06 33.53 2.0815
0.10940000000000001 139.86 6.2299999999999995 2.1624999999999996
0.0034000000000000002 163.86 56.07 2.1795
0.007000000000000001 141.54 68.53 2.0775
0.0286 166.86 46.13 1.9045
0.125 172.98000000000002 13.790000000000001 2.2554999999999996
0.08940000000000001 130.98 9.030000000000001 2.2424999999999997
0.13740000000000002 140.1 22.19 1.8335000000000001
0.0698 123.9 64.05 1.8045
0.123 120.66 9.31 2.1265
0.0766 122.7 12.67 2.1544999999999996
0.165 145.38 0.35000000000000003 2.0255
0.0902 172.14 5.95 2.2355
0.1398 144.66 11.55 1.9975
0.10060000000000001 139.74 67.27 1.9405000000000001
0.1646 142.38 40.25 2.1875
0.08700000000000001 138.54 31.150000000000002 1.8095
0.05500000000000001 154.62 51.449999999999996 1.9615
0.062200000000000005 126.9 26.25 1.9625
0.0362 148.14 29.33 2.1174999999999997
0.1522 157.26 2.73 1.8255000000000001
0.1726 143.82 58.73 2.2744999999999997
0.1242 133.98 16.59 2.2344999999999997
0.1814 178.86 59.85 2.2375
0.1182 129.3 61.53 1.9375
0.0834 155.22 0.07 2.1665
0.191 151.14 44.45 2.1405
0.048600000000000004 143.1 54.53 1.9965
0.13620000000000002 171.3 67.97 2.1975
0.1986 169.74 28.77 2.0745
0.1794 165.78 33.11 1.9505
0.025 122.22 12.25 2.0875
0.12140000000000001 161.94 52.15 2.0335
0.18420000000000003 124.98 5.67 1.9385
0.0574 169.62 12.81 1.8415
0.0014000000000000002 126.78 10.57 2.2264999999999997
0.0626 131.22 14.489999999999998 1.9095
0.10420000000000001 123.78 18.970000000000002 1.9135
0.013400000000000002 141.66 22.61 2.0655
0.046200000000000005 139.98 50.47 2.2935
0.0606 131.7 60.97 1.8815
0.1834 152.94 63.21 2.0175
0.1426 178.98 56.63 1.9855
0.09620000000000001 174.06 65.72999999999999 2.1774999999999998
0.0022 169.01999999999998 24.29 1.8305
0.0826 173.46 33.949999999999996 2.2735
0.0242 130.26 19.39 2.1704999999999997
0.06580000000000001 149.94 8.05 2.0025
0.032600000000000004 163.14 41.93 2.0005
0.06420000000000001 133.74 4.97 2.0934999999999997
0.0322 143.94 5.53 2.1105
0.0054 162.18 16.17 2.0135
0.0714 163.01999999999998 53.97 2.1454999999999997
0.09860000000000001 152.46 46.410000000000004 2.0315
0.055400000000000005 135.18 47.95 1.8425
0.0206 120.42 39.41 2.2525
0.030600000000000002 134.82 48.93 2.1475
0.1514 149.82 28.91 1.8005
0.16140000000000002 133.14 35.77 1.8235000000000001
0.041800000000000004 162.42 23.03 1.8145
0.1786 174.42000000000002 10.29 2.0705
0.11100000000000002 157.62 55.09 2.2235
0.009 173.1 6.37 2.1534999999999997
0.034999999999999996 137.46 3.29 1.8195000000000001
0.0122 145.5 9.450000000000001 2.0225
0.1506 166.74 66.14999999999999 1.8735
0.085 148.62 39.55 1.8315000000000001
0.065 132.78 57.19 2.1445
0.15580000000000002 127.62 22.89 1.8035
0.0654 179.7 29.47 1.9935
0.0874 174.78 64.75 2.2805
0.0002 154.26 2.45 2.1254999999999997
0.001 178.01999999999998 39.27 1.9125
0.19340000000000002 159.06 50.05 1.8935
0.1198 135.9 42.629999999999995 1.8155000000000001
0.1894 121.26 13.09 1.8185
0.1694 122.58 45.29 2.0635
0.049 169.98 65.45 2.2984999999999998
0.0466 157.86 61.39 2.2885
0.1322 126.42 10.149999999999999 1.8695
0.021400000000000002 173.34 27.51 1.9145
0.07780000000000001 161.45999999999998 13.65 1.9685
0.1038 152.1 66.85 1.8885
0.1902 127.26 23.59 2.2085
0.0218 136.5 47.25 2.0275
0.1826 126.18 34.65 2.1414999999999997
0.0694 146.46 66.00999999999999 2.0465
0.059 147.78 30.59 2.0164999999999997
0.15100000000000002 170.34 24.709999999999997 1.9835
0.08900000000000001 179.22 14.77 2.1734999999999998
0.0566 143.34 64.19 2.2195
0.1338 158.34 45.01 2.1205
0.1446 176.94 8.190000000000001 2.1605
0.0026 157.38 40.11 2.1985
0.022600000000000002 171.9 31.990000000000002 2.0145
0.14980000000000002 169.38 52.43 1.9065
0.0386 176.1 17.009999999999998 2.2104999999999997
0.16180000000000003 135.3 2.59 1.9515
0.0502 148.98 1.75 1.8395000000000001
0.025400000000000002 158.7 5.25 1.8515
0.15180000000000002 153.3 15.75 1.8635
0.09060000000000001 120.78 60.55 2.1895
0.09340000000000001 136.02 53.27 1.8685
0.071 177.66 18.27 2.2765
0.10260000000000001 121.38 37.730000000000004 1.9865
0.1774 173.22 44.31 1.8615
0.1502 144.3 54.25 2.1185
0.1438 120.9 22.47 1.9264999999999999
0.0346 151.86 17.29 1.8525
0.1958 128.1 58.449999999999996 2.1654999999999998
0.0434 171.54 36.050000000000004 1.8355000000000001
0.0594 124.62 52.57 2.2184999999999997
0.1754 150.9 65.86999999999999 2.2035
0.1678 179.57999999999998 60.129999999999995 2.0665
0.18620000000000003 178.26 38.85 2.0735
0.07900000000000001 156.78 46.970000000000006 2.2655
0.17300000000000001 161.82 43.61 1.8165
0.0222 144.18 12.389999999999999 1.9224999999999999
0.127 128.34 3.99 1.9635
0.1034 121.02 20.65 2.0795
0.0302 165.06 38.57 2.2455
0.043000000000000003 137.57999999999998 62.370000000000005 2.0725
0.0114 174.66 32.27 2.2115
0.15860000000000002 156.9 63.35 2.0965
0.16100000000000003 163.74 3.57 2.0125
0.0178 151.26 32.83 1.9725
0.07500000000000001 138.18 31.01 1.9395
0.15780000000000002 129.66 57.47 2.1214999999999997
0.10460000000000001 153.78 62.93 1.9895
0.10620000000000002 167.94 45.43 2.1225
0.041 144.06 25.55 1.9335
0.1998 174.18 63.07 2.1145
0.0862 149.46 2.31 1.9195
0.027000000000000003 164.57999999999998 28.63 2.1675
0.0618 127.38 68.11 2.0645
0.0746 134.1 15.89 2.0075
0.06899999999999999 163.62 35.35 1.8875
0.033400000000000006 158.22 51.17 2.1334999999999997
0.0514 130.5 18.55 2.0885
0.06820000000000001 151.74 30.45 1.8985
0.1178 177.42 26.11 2.0105
0.0974 161.57999999999998 1.89 1.9055
0.033 135.06 68.81 2.2624999999999997
0.14780000000000001 125.58 51.589999999999996 1.8745
0.051800000000000006 152.22 53.69 2.2125
0.1806 123.3 24.43 1.8805
0.19540000000000002 130.14 28.35 1.9565
0.1542 151.98 59.71 1.9175
0.1142 150.3 16.73 2.2415
0.1302 155.46 2.17 2.2215
0.10660000000000001 155.34 14.35 1.9105
0.08460000000000001 145.98 60.83 2.2994999999999997
0.0522 170.22 21.63 2.0204999999999997
0.0958 138.9 60.41 2.1925
0.17700000000000002 146.34 38.010000000000005 1.8455
0.04580000000000001 173.57999999999998 7.7700000000000005 2.1025
0.05260000000000001 132.66 36.19 2.0284999999999997
0.0046 138.3 36.33 2.0825
0.193 159.9 11.690000000000001 2.2504999999999997
0.10860000000000002 148.38 29.049999999999997 1.9085
0.1422 137.7 66.42999999999999 1.9755
0.0634 143.7 43.75 2.1965
0.073 124.14 26.95 2.1315
0.08020000000000001 162.78 5.8100000000000005 2.0925
0.15900000000000003 159.18 54.81 2.2944999999999998
0.1378 158.46 50.75 1.8105
0.18020000000000003 162.3 25.13 2.1955
0.06380000000000001 175.5 44.730000000000004 2.1515
0.020200000000000003 162.06 11.41 2.1065
0.0978 127.74 61.11 2.0404999999999998
0.054200000000000005 165.9 27.650000000000002 2.2834999999999996
0.141 120.06 67.41 2.0564999999999998
0.1942 161.1 69.65 2.0995
0.1058 125.46 46.550000000000004 1.8555
0.11499999999999999 167.46 35.21 2.0055
0.1886 147.42000000000002 46.690000000000005 1.9485
0.17620000000000002 168.18 68.67 2.1745
0.0126 127.98 32.97 2.1355
0.0818 167.34 35.910000000000004 2.1755
0.1258 155.82 37.31 1.8345
0.1766 124.02 68.39 1.8085
0.1154 138.66 58.029999999999994 2.0625
0.1462 172.62 36.47 2.2464999999999997
0.163 125.22 67.55 1.9355
0.10700000000000001 172.74 25.83 2.1765
0.18700000000000003 136.86 8.75 2.1935
0.0806 166.62 18.830000000000002 2.2304999999999997
0.17420000000000002 174.9 36.61 2.1694999999999998
0.197 129.9 66.99 1.8865
0.16060000000000002 127.02 58.589999999999996 2.0185
0.18380000000000002 161.22 57.89 2.2135
0.147 128.46 14.91 2.0395
0.169 124.26 47.11 1.9595
0.0706 131.34 67.13 2.2275
0.1778 131.46 32.410000000000004 2.0475
0.1262 160.38 24.15 1.8645
0.13260000000000002 146.22 56.21 1.9905
0.0814 134.58 55.230000000000004 2.2775
0.1642 170.1 51.03 2.2435
0.1226 158.1 27.37 1.9655
0.0426 126.06 30.73 2.2064999999999997
0.1706 139.62 53.13 1.8135000000000001
0.0786 132.3 42.91 2.2224999999999997
0.15300000000000002 171.18 49.489999999999995 2.1425
0.0762 133.5 28.49 2.2015
0.1222 155.7 42.769999999999996 2.2725
0.17020000000000002 174.3 4.13 2.2365
0.1406 133.26 16.45 1.9435
0.10900000000000001 155.1 11.13 2.1134999999999997
0.053000000000000005 166.14 19.25 2.1195
0.18100000000000002 154.5 24.849999999999998 2.0355
0.18580000000000002 139.26 61.95 1.9415
0.131 137.22 29.189999999999998 1.9785
0.1574 145.86 1.1900000000000002 2.2315
0.145 140.34 53.550000000000004 1.8975
0.09260000000000002 162.54 21.21 2.1365
0.1562 153.18 33.25 2.2845
0.0738 128.94 48.09 2.0415
0.09820000000000001 141.3 20.09 2.1835
0.1674 149.34 27.93 2.1825
0.1658 165.54 11.83 2.1845
0.13060000000000002 159.66 27.09 2.1814999999999998
0.1582 151.62 12.11 2.1784999999999997
0.121 142.98 34.79 2.2975
0.0946 150.54 34.93 2.0955
0.0966 129.54 47.81 1.9525
0.1342 175.02 1.4700000000000002 2.0295
0.1966 160.26 5.39 2.1505
0.18180000000000002 164.1 42.49 2.1385
0.119 169.14 13.370000000000001 2.0195
0.189 148.02 3.15 2.1635
0.16620000000000001 138.78 36.75 1.9255
0.10500000000000001 144.78 22.330000000000002 2.0845
0.171 136.62 49.349999999999994 1.9765
0.1878 147.66 15.049999999999999 2.1005
0.1534 165.3 15.61 2.0695
0.1318 148.74 35.07 2.2075
0.1714 155.94 38.43 2.0675
0.167 141.18 23.87 2.0604999999999998
0.1298 136.74 45.99 1.9745
0.1382 145.26 44.03 2.0484999999999998
0.1358 148.26 25.27 2.0215
0.1254 158.57999999999998 23.310000000000002 2.0805
0.13899999999999998 150.78 33.39 2.1055
