phi1 phi2 r1 r2
174.595 93.175 1.8995 1.9605
143.54500000000002 109.965 1.9495 2.1494999999999997
112.725 165.39499999999998 1.8485 1.9695
131.58499999999998 172.065 1.8605 1.9025
98.235 88.805 1.9264999999999999 2.2335
139.175 136.875 1.9005 1.9995
156.885 96.165 1.9565 2.1995
86.275 104.445 2.0155 1.8375000000000001
160.105 67.185 1.8205 2.1725
132.04500000000002 81.905 2.2735 2.1685
150.905 172.985 2.1025 1.9915
87.885 153.66500000000002 2.2055 2.2285
114.33500000000001 148.14499999999998 2.1544999999999996 1.9575
172.29500000000002 140.555 2.1814999999999998 2.0915
173.21499999999997 74.08500000000001 1.9505 2.0585
118.015 126.98500000000001 1.9405000000000001 2.0065
154.125 127.67500000000001 2.0265 1.8965
122.155 97.775 1.9224999999999999 1.8325
99.38499999999999 92.715 2.1254999999999997 1.9545
96.39500000000001 70.865 1.8345 2.0515
154.35500000000002 144.235 2.1005 2.2295
100.07499999999999 87.195 2.0925 2.1325
71.785 107.205 2.2845 1.9715
88.11500000000001 155.04500000000002 2.0735 2.0945
74.545 108.58500000000001 2.2485 1.8585
75.005 173.675 2.2024999999999997 1.9495
86.505 116.17500000000001 2.1475 1.8765
118.475 155.275 1.9695 2.0345
136.64499999999998 149.29500000000002 1.8965 2.1864999999999997
171.145 122.61500000000001 2.2235 1.8015
135.95499999999998 164.70499999999998 2.1774999999999998 2.2664999999999997
103.295 135.265 2.0335 2.1715
86.045 96.39500000000001 1.8035 2.1905
129.055 108.815 2.1614999999999998 2.2595
108.35499999999999 162.865 2.0945 2.0095
92.715 120.775 2.0685 2.2695
138.715 84.895 1.8245 2.2645
164.70499999999998 78.685 1.8065 2.0324999999999998
99.61500000000001 124.455 1.9085 2.1014999999999997
150.675 69.485 2.2205 2.2405
68.565 94.555 2.0845 2.2205
103.525 171.835 2.2685 1.8835
103.065 140.325 2.2634999999999996 1.8205
90.875 69.025 2.1965 2.1045
78.455 73.395 2.1715 1.8285
150.215 99.61500000000001 2.1704999999999997 2.2095
142.395 67.875 2.0795 1.9184999999999999
123.535 175.745 2.1585 2.0244999999999997
81.675 125.375 1.8095 2.2024999999999997
98.465 73.625 2.0415 1.8665
130.89499999999998 136.185 2.0975 1.9445
164.935 76.385 1.8785 2.2394999999999996
148.60500000000002 89.035 2.0725 2.2325
133.655 107.435 2.2415 1.8385
123.765 158.265 2.0785 1.8275000000000001
165.39499999999998 170.91500000000002 1.8525 1.8785
65.345 104.905 2.1265 1.9455
88.805 116.63499999999999 2.1075 2.0854999999999997
72.935 171.60500000000002 1.9105 2.0545
141.47500000000002 68.795 2.1134999999999997 2.1574999999999998
172.755 153.89499999999998 2.0675 2.2515
79.145 123.305 2.2255 1.9304999999999999
66.035 65.345 1.9655 2.1805
73.16499999999999 77.765 2.0275 1.8705
139.405 92.485 1.8045 2.0535
123.075 128.365 1.8055 2.0425
110.885 105.365 2.0965 2.0385
153.435 98.235 1.8635 2.1285
112.265 143.54500000000002 1.9575 1.8405
81.215 81.445 2.1014999999999997 1.9555
87.655 163.555 2.2535 2.1485
71.325 71.555 2.2155 1.9475
143.775 71.785 2.0145 2.2794999999999996
179.655 129.28500000000003 2.0115 1.8755
69.485 94.785 2.1955 2.2605
109.275 115.945 1.9165 1.9235
152.745 130.20499999999998 2.1275 1.9825
179.425 177.35500000000002 2.1635 1.9245
117.785 175.285 2.1395 1.8605
122.61500000000001 122.845 2.1405 2.1614999999999998
88.345 141.70499999999998 1.9485 1.9285
126.755 86.275 2.0404999999999998 1.8825
127.215 101.455 2.2954999999999997 2.2754999999999996
70.405 102.375 1.9415 1.8465
114.795 66.035 2.1155 2.1085
97.775 137.79500000000002 1.8715 2.2165
67.875 177.58499999999998 1.8475 1.8065
124.225 170.685 1.8505 2.0905
94.095 178.965 1.8855 1.9985
174.135 108.35499999999999 2.2215 2.1155
176.435 90.645 2.1555 2.0615
73.625 95.245 1.9715 2.2714999999999996
130.20499999999998 148.375 2.2464999999999997 2.1435
177.815 77.535 2.1734999999999998 1.8905
147.915 150.905 1.8325 2.2815
175.745 114.10499999999999 1.9295 1.8295000000000001
109.505 101.685 2.2645 1.8125
171.375 178.27499999999998 1.8745 1.9735
147.225 173.905 2.1105 1.8075
80.295 168.155 2.1305 2.0455
105.365 146.765 2.1765 1.8715
70.635 171.145 2.2664999999999997 1.8725
167.465 169.535 2.0125 1.8435
129.745 156.655 2.2165 1.8495
134.345 110.195 1.8515 1.8955
67.415 112.955 1.8145 1.8545
176.89499999999998 143.085 1.8805 1.9925
100.305 114.33500000000001 1.8695 2.1885
85.355 70.405 1.8265 2.2485
129.975 161.715 2.1205 1.9295
125.605 68.335 2.2925 1.8795
73.395 92.255 2.1094999999999997 1.8475
90.41499999999999 174.825 2.0835 2.2615
113.41499999999999 167.925 1.9395 1.9535
89.265 70.635 2.2935 1.9005
178.505 85.58500000000001 2.1225 2.2055
144.695 162.175 2.2405 2.0785
147.45499999999998 95.935 2.0244999999999997 2.1374999999999997
91.105 99.155 1.8115 2.0084999999999997
79.83500000000001 131.815 1.9915 2.2914999999999996
156.655 83.055 2.1464999999999996 2.2925
132.505 87.655 2.1385 2.1094999999999997
84.665 71.095 2.0885 2.0715
69.255 161.945 2.2245 2.0865
169.765 87.885 1.8465 1.8505
160.79500000000002 174.595 2.2965 1.9115
82.825 158.495 1.8545 2.2895
115.485 65.575 2.2075 1.9315
107.205 172.29500000000002 2.2115 1.9675
175.285 104.215 2.0705 2.1075
167.925 155.505 2.1345 1.9885
71.095 176.435 1.9045 1.8945
68.335 91.105 1.8765 2.1035
66.725 76.155 2.2335 2.1944999999999997
75.465 97.54499999999999 2.2474999999999996 2.1645
115.945 95.015 1.8315000000000001 1.8895
178.735 100.305 1.8685 2.0444999999999998
102.14500000000001 141.245 2.0435 2.0364999999999998
73.855 179.885 2.1485 2.2255
67.185 127.44500000000001 1.9525 2.1165
178.965 106.055 2.0235 2.2005
80.985 134.115 2.1925 1.8265
77.075 69.715 2.2834999999999996 2.0765
78.685 141.935 2.2874999999999996 2.1854999999999998
69.715 115.025 2.0765 1.8445
72.475 132.04500000000002 2.2304999999999997 2.0575
83.055 83.745 2.2765 1.9945
117.325 108.125 1.8215000000000001 2.2544999999999997
104.445 158.725 2.1515 2.2704999999999997
92.025 74.775 1.8075 1.9325
81.905 133.195 1.8595 1.9705
107.66499999999999 68.105 1.9335 2.2675
159.185 156.195 2.2554999999999996 1.9815
157.115 176.89499999999998 1.9675 2.1525
141.70499999999998 173.21499999999997 1.9015 1.8215000000000001
145.615 178.735 2.0934999999999997 2.0985
175.515 131.58499999999998 2.0915 2.2855
117.555 179.655 2.1665 2.2874999999999996
119.16499999999999 130.435 2.0324999999999998 2.2445
108.58500000000001 134.575 2.2754999999999996 2.1115
97.315 172.755 2.1454999999999997 1.8055
101.225 149.985 1.8015 1.9645
74.315 107.66499999999999 1.8565 2.2954999999999997
145.155 150.675 2.2994999999999997 2.2864999999999998
142.625 164.245 2.0135 1.8675
138.945 152.515 1.8615 1.8575
118.935 168.385 1.9315 1.8365
70.865 150.215 2.1885 2.0015
170.22500000000002 117.095 2.2944999999999998 1.8775
122.38499999999999 103.755 1.8655 2.0555
74.08500000000001 112.035 2.1505 2.2045
177.125 157.115 2.2285 1.9155
116.63499999999999 74.315 1.8365 2.0035
86.965 130.89499999999998 1.9455 2.0265
98.695 156.425 2.1995 2.0375
166.08499999999998 123.765 1.8335000000000001 1.8925
68.795 139.405 2.0985 2.0755
134.115 84.205 2.1784999999999997 2.2685
80.065 119.625 1.9095 2.2245
95.705 134.805 2.1085 1.8225
106.285 117.785 1.9275 1.8175000000000001
171.60500000000002 142.625 1.9205 1.8855
93.635 81.675 1.9535 1.8245
142.85500000000002 175.975 2.2445 1.8565
175.055 75.925 2.0465 2.2784999999999997
129.515 153.20499999999998 1.9815 2.2824999999999998
75.695 152.055 1.9465 2.2584999999999997
133.195 80.755 2.0255 2.0835
120.775 118.475 2.1845 1.9205
86.735 109.505 2.0005 2.2144999999999997
158.95499999999998 112.725 1.8945 2.2904999999999998
149.29500000000002 75.235 1.9425 2.1464999999999996
137.79500000000002 121.695 2.2605 2.1395
93.405 177.125 2.2035 2.2535
83.285 173.445 1.9885 2.1305
76.385 121.005 2.1905 2.2965
119.85499999999999 154.125 2.2435 2.0115
69.945 129.975 2.1185 1.9165
164.015 113.185 1.9365 1.9215
128.365 72.015 1.9285 1.8025
90.645 151.595 2.2565 1.9365
158.265 111.805 2.2984999999999998 2.0505
123.305 129.515 2.1985 1.8115
80.755 159.415 1.8495 1.9955
155.275 91.565 2.2615 1.8625
74.775 89.725 1.8435 1.9344999999999999
87.425 159.875 2.2125 1.8485
131.815 68.565 1.9255 2.2575
162.635 88.345 2.2595 2.2634999999999996
113.185 174.365 2.0395 2.0815
127.905 103.065 1.8445 2.1624999999999996
66.955 149.065 2.2005 2.1795
69.025 106.285 2.2895 2.0775
81.445 154.815 2.1294999999999997 1.9045
136.875 166.54500000000002 1.8985 2.2554999999999996
116.405 86.045 1.8645 2.2424999999999997
144.005 103.525 1.9585 1.8335000000000001
105.13499999999999 72.475 2.2575 1.8045
135.725 66.265 1.8665 2.1265
109.045 70.175 1.8905 2.1544999999999996
159.875 113.645 1.8025 2.0255
116.86500000000001 164.935 1.8425 2.2355
145.385 112.265 1.8825 1.9975
122.845 102.83500000000001 2.2805 1.9405000000000001
159.64499999999998 107.89500000000001 2.0875 2.1875
115.025 100.535 2.0225 1.8095
96.625 131.355 2.1675 1.9615
100.765 78.225 1.9875 1.9625
85.815 118.935 2.0095 2.1174999999999997
152.515 136.41500000000002 1.8195000000000001 1.8255000000000001
164.245 110.655 2.2195 2.2744999999999997
136.41500000000002 91.795 1.9184999999999999 2.2344999999999997
169.305 177.815 2.2275 2.2375
132.965 82.825 2.2394999999999996 1.9375
112.955 132.505 1.8005 2.1665
174.825 124.685 2.1174999999999997 2.1405
92.945 109.275 2.1895 1.9965
143.315 163.325 2.2855 2.1975
179.195 160.33499999999998 2.0055 2.0745
168.155 152.745 2.0364999999999998 1.9505
79.375 69.255 1.8875 2.0875
134.805 145.385 2.1725 2.0335
170.91500000000002 74.545 1.8405 1.9385
98.005 160.105 1.8915 1.8415
65.805 77.995 1.8755 2.2264999999999997
100.995 86.505 1.9035 1.9095
124.91499999999999 72.245 1.9355 1.9135
72.705 106.515 1.9615 2.0655
91.565 103.295 2.1605 2.2935
99.845 87.425 2.2355 1.8815
170.45499999999998 128.135 2.2515 2.0175
146.995 178.04500000000002 2.2045 1.9855
120.315 168.615 2.2695 2.1774999999999998
66.265 158.95499999999998 1.9735 1.8305
112.495 167.465 2.0425 2.2735
78.91499999999999 84.665 1.9385 2.1704999999999997
102.83500000000001 122.38499999999999 1.8575 2.0025
83.745 147.685 2.0995 2.0005
101.91499999999999 91.33500000000001 1.8355000000000001 2.0934999999999997
83.515 110.885 1.8395000000000001 2.1105
68.105 145.845 1.9155 2.0135
106.055 147.45499999999998 2.1854999999999998 2.1454999999999997
121.695 127.215 2.1315 2.0315
96.855 94.095 2.1425 1.8425
76.845 65.805 2.0815 2.2525
82.595 93.405 2.1494999999999997 2.1475
152.055 122.155 2.0065 1.8005
157.805 90.185 2.0555 1.8235000000000001
89.035 146.305 1.9645 1.8145
167.695 169.305 1.8735 2.0705
128.825 137.10500000000002 2.1935 2.2235
70.175 166.775 1.8455 2.1534999999999997
85.125 98.465 1.8235000000000001 1.8195000000000001
72.015 113.875 1.8675 2.0225
151.595 154.585 2.2725 1.8735
113.875 119.85499999999999 2.0825 1.8315000000000001
102.375 89.495 2.2085 2.1445
154.585 79.605 1.9635 1.8035
102.605 179.425 2.0105 1.9935
115.255 169.995 2.2624999999999997 2.2805
65.115 130.665 1.8175000000000001 2.1254999999999997
65.575 176.20499999999998 2.0805 1.9125
176.20499999999998 139.865 2.1574999999999998 1.8935
133.885 95.475 2.1045 1.8155000000000001
173.905 67.415 1.8935 1.8185
162.405 69.945 2.1235 2.0635
93.175 160.79500000000002 2.2675 2.2984999999999998
91.795 137.565 2.2384999999999997 2.2885
141.015 77.305 1.8725 1.8695
77.305 167.235 1.9965 1.9145
109.735 144.46499999999997 1.8975 1.9685
124.685 126.525 2.2775 1.8885
174.365 78.91499999999999 1.9685 2.2085
77.535 96.625 2.1374999999999997 2.0275
169.995 76.845 2.0475 2.1414999999999997
104.905 115.715 2.2714999999999996 2.0465
98.925 118.245 2.0185 2.0164999999999997
151.825 161.485 1.9765 1.9835
116.17500000000001 178.505 1.9055 2.1734999999999998
97.54499999999999 109.735 2.2584999999999997 2.2195
141.935 138.485 2.1214999999999997 2.1205
148.14499999999998 174.135 1.8585 2.1605
66.495 136.64499999999998 2.0865 2.1985
77.995 164.475 2.0284999999999997 2.0145
151.135 159.64499999999998 2.1745 1.9065
87.195 172.525 1.9215 2.2104999999999997
158.03500000000003 94.325 1.8185 1.9515
93.865 120.545 1.8125 1.8395000000000001
79.605 139.175 1.8375000000000001 1.8515
152.285 128.825 1.9125 1.8635
117.095 66.495 2.2325 2.1895
118.70500000000001 95.705 2.1805 1.8685
105.82499999999999 175.515 1.9304999999999999 2.2765
123.995 67.645 2.0695 1.9865
167.005 167.005 2.1165 1.8615
151.365 111.575 2.1875 2.1185
147.685 66.725 1.9605 1.9264999999999999
84.895 126.065 1.9235 1.8525
177.58499999999998 80.525 2.2175 2.1654999999999998
89.955 163.785 2.0575 1.8355000000000001
99.155 73.855 2.1755 2.2184999999999997
165.85500000000002 124.225 2.2704999999999997 2.2035
161.485 179.195 2.2295 2.0665
172.065 176.665 2.0775 2.0735
110.42500000000001 135.495 2.1355 2.2655
164.475 145.155 2.1115 1.8165
77.765 111.345 1.8885 1.9224999999999999
138.025 80.985 1.8285 1.9635
124.455 66.955 1.9475 2.0795
82.365 151.365 2.0755 2.2455
89.725 98.695 2.2455 2.0725
71.555 169.765 2.0305 2.2115
156.195 135.725 2.2525 2.0965
157.575 148.83499999999998 1.8255000000000001 2.0125
75.235 124.91499999999999 2.0345 1.9725
108.125 99.845 2.0215 1.9395
155.735 83.515 2.2104999999999997 2.1214999999999997
125.14500000000001 129.745 2.2495 1.9895
126.065 156.885 2.1245 2.1225
88.575 111.11500000000001 1.9825 1.9335
179.885 168.845 2.2504999999999997 2.1145
114.565 121.465 1.8165 1.9195
80.525 150.445 2.0045 2.1675
100.535 79.145 2.2864999999999998 2.0645
107.89500000000001 92.025 1.9135 2.0075
104.675 148.60500000000002 2.0524999999999998 1.8875
84.205 138.255 2.1654999999999998 2.1334999999999997
94.555 85.125 1.9325 2.0885
104.215 125.83500000000001 2.0175 1.8985
132.735 175.055 1.9865 2.0105
121.005 144.695 1.8135000000000001 1.9055
83.975 93.865 2.2914999999999996 2.2624999999999997
149.985 75.695 2.1685 1.8745
94.785 126.755 2.1835 2.2125
168.845 71.325 1.9745 1.8805
177.35500000000002 84.435 2.0025 1.9565
153.66500000000002 126.295 2.2264999999999997 1.9175
130.665 123.075 1.9195 2.2415
139.865 132.965 1.8155000000000001 2.2215
126.295 132.735 1.9025 1.9105
113.645 114.795 2.2344999999999997 2.2994999999999997
95.015 161.255 1.9545 2.0204999999999997
120.08500000000001 101.225 2.2315 2.1925
166.775 115.485 2.0715 1.8455
91.33500000000001 167.695 1.8555 2.1025
95.245 89.265 2.0585 2.0284999999999997
67.645 100.07499999999999 2.0595 2.0825
175.975 141.47500000000002 1.8835 2.2504999999999997
127.44500000000001 119.395 2.0075 1.9085
146.765 98.925 2.2744999999999997 1.9755
101.455 110.42500000000001 2.1125 2.1965
106.975 72.935 1.9925 2.1315
111.11500000000001 146.995 1.8415 2.0925
156.425 140.095 2.1915 2.2944999999999998
144.235 138.715 2.1624999999999996 1.8105
168.615 146.075 1.9795 2.1955
101.685 171.375 2.1195 2.1515
76.615 145.615 1.8815 2.1065
121.235 79.83500000000001 2.2365 2.0404999999999998
96.165 152.97500000000002 1.9975 2.2834999999999996
146.075 65.115 2.2815 2.0564999999999998
176.665 143.775 2.2975 2.0995
125.83500000000001 75.465 2.1325 1.8555
131.125 155.965 2.0515 2.0055
173.445 117.555 2.1334999999999997 1.9485
166.315 157.345 2.2904999999999998 2.1745
72.245 80.295 2.0355 2.1355
112.035 155.735 2.0564999999999998 2.1755
137.33499999999998 133.655 2.0665 1.8345
166.54500000000002 72.705 2.2885 1.8085
131.355 100.765 2.2144999999999997 2.0625
149.065 165.85500000000002 2.0604999999999998 2.2464999999999997
158.725 75.005 2.2824999999999998 1.9355
126.525 166.08499999999998 1.9845 2.1765
172.525 97.315 1.8625 2.1935
111.345 154.35500000000002 1.9344999999999999 2.2304999999999997
165.16500000000002 170.22500000000002 2.0615 2.1694999999999998
178.27499999999998 83.975 2.2784999999999997 1.8865
157.345 78.455 2.2184999999999997 2.0185
170.685 144.005 2.2135 2.2135
149.52499999999998 81.215 1.9065 2.0395
162.175 73.16499999999999 2.1365 1.9595
105.595 86.735 2.2794999999999996 2.2275
167.235 86.965 2.0315 2.0475
137.565 142.395 1.9725 1.8645
141.245 115.255 2.2015 1.9905
111.805 92.945 2.1944999999999997 2.2775
159.415 161.02499999999998 2.1645 2.2435
135.495 138.025 1.9955 1.9655
89.495 76.615 2.0195 2.2064999999999997
163.095 102.605 2.1795 1.8135000000000001
110.195 88.575 2.1065 2.2224999999999997
152.97500000000002 163.095 2.1534999999999997 2.1425
108.815 90.875 2.0035 2.2015
135.265 133.425 2.1055 2.2725
162.865 169.075 1.8295000000000001 2.2365
145.845 90.41499999999999 1.9175 1.9435
127.67500000000001 132.27499999999998 1.8795 2.1134999999999997
95.475 153.435 1.9375 2.1195
169.075 131.125 1.9775 2.0355
171.835 101.91499999999999 2.2424999999999997 1.9415
140.325 98.005 2.0084999999999997 1.9785
155.505 114.565 1.8085 2.2315
148.375 103.985 2.1825 1.8975
118.245 146.535 1.9515 2.1365
154.815 128.595 2.0375 2.2845
107.435 82.13499999999999 2.1435 2.0415
121.465 105.82499999999999 1.9435 2.1835
161.255 121.235 1.9995 2.1825
160.33499999999998 152.285 1.8845 2.1845
140.095 141.015 1.9935 2.1814999999999998
155.965 125.605 1.8865 2.1784999999999997
134.575 109.045 2.0484999999999998 2.2975
119.395 123.535 2.0495 2.0955
120.545 83.285 2.1414999999999997 1.9525
142.16500000000002 170.45499999999998 1.8105 2.0295
178.04500000000002 142.16500000000002 1.8385 2.1505
169.535 149.52499999999998 2.1035 2.1385
133.425 159.185 1.8955 2.0195
173.675 118.70500000000001 1.8225 2.1635
160.565 100.995 2.0625 1.9255
125.375 112.495 1.9595 2.0845
163.325 96.855 2.1525 1.9765
172.985 118.015 1.9075 2.1005
153.20499999999998 151.825 1.9115 2.0695
140.785 120.08500000000001 2.0505 2.2075
163.555 133.885 2.0745 2.0675
161.02499999999998 105.595 1.9705 2.0604999999999998
139.635 97.08500000000001 2.1285 1.9745
144.46499999999997 113.41499999999999 2.1145 2.0484999999999998
143.085 119.16499999999999 1.9805 2.0215
137.10500000000002 138.945 1.9665 2.0805
144.925 123.995 2.0385 2.1055
