phi r1 r2
17.72 2.0305 1.9975
22.360000000000003 2.2605 1.9165
18.68 2.2904999999999998 2.0005
1.88 1.8605 2.2824999999999998
37.559999999999995 2.2754999999999996 2.1045
14.44 1.9005 2.2965
2.2 1.9935 1.9304999999999999
1.32 1.8945 1.8095
29.08 1.8155000000000001 2.0775
25.96 1.8065 1.8105
21.48 2.2135 1.8055
38.6 1.9355 2.2925
10.52 1.8265 1.9635
2.44 1.9075 1.8725
14.36 2.2725 1.8305
11.080000000000002 2.2595 2.2615
3.08 2.2264999999999997 2.2215
3.8 1.8235000000000001 1.8235000000000001
0.36 2.0164999999999997 2.2575
5.0 1.9395 1.9264999999999999
20.52 2.2224999999999997 2.0625
5.4 2.1955 2.2685
20.36 1.8465 2.2144999999999997
33.48 1.8115 2.0475
16.36 1.8865 1.8085
2.52 1.9705 2.0025
9.8 2.0665 2.0515
13.799999999999999 2.0945 1.9145
6.28 2.0484999999999998 2.2255
27.480000000000004 2.1325 2.2994999999999997
12.36 2.2245 2.1235
20.76 2.1574999999999998 1.8345
7.960000000000001 2.2085 1.8025
26.44 2.2984999999999998 2.0795
2.04 2.0735 1.8655
34.12 2.1254999999999997 2.2954999999999997
31.16 1.8395000000000001 2.1915
28.52 1.8955 2.1645
0.8400000000000001 2.2935 1.8045
8.2 2.0135 1.9005
37.160000000000004 2.0835 2.0395
21.64 1.8885 1.9395
23.96 2.1895 1.8805
7.720000000000001 1.8005 1.8555
1.6400000000000001 1.9035 2.1675
17.4 1.8325 2.0555
25.240000000000002 2.1294999999999997 1.8395000000000001
19.24 2.2384999999999997 1.9655
15.56 1.8375000000000001 2.1585
32.599999999999994 2.2775 2.1854999999999998
2.2800000000000002 2.0934999999999997 2.0065
31.080000000000002 1.9945 2.2384999999999997
3.0 1.9515 1.8265
10.280000000000001 1.9235 1.8185
0.04 2.2495 1.9335
6.840000000000001 1.8215000000000001 2.0155
23.159999999999997 1.8285 1.8585
19.88 2.2464999999999997 1.8635
18.919999999999998 2.2335 2.2904999999999998
39.64 2.2474999999999996 1.9615
1.0 1.9625 2.2035
32.839999999999996 1.8565 2.0915
6.680000000000001 1.9965 2.1525
25.16 1.8815 1.8815
23.72 2.2874999999999996 1.8605
3.6399999999999997 2.0145 1.8735
24.439999999999998 1.8175000000000001 2.2525
15.88 1.9925 1.9525
0.43999999999999995 1.9595 2.0955
35.32 2.2664999999999997 2.2664999999999997
7.16 1.8975 1.8875
20.44 1.8035 2.0145
17.08 1.8295000000000001 1.9755
0.12 1.9165 1.9905
36.6 1.8185 1.8275000000000001
6.92 1.9905 1.8325
16.759999999999998 2.2584999999999997 2.1225
0.28 1.8275000000000001 1.9135
22.040000000000003 1.8535 2.1464999999999996
15.32 2.2794999999999996 1.9405000000000001
18.44 1.8245 2.2765
3.16 1.9095 2.2275
5.08 1.8445 2.1155
4.2 2.1065 1.8065
30.12 2.0625 2.2944999999999998
1.96 1.8145 2.0015
2.7600000000000002 1.8345 2.0604999999999998
3.5599999999999996 1.8785 2.0164999999999997
2.68 1.8625 1.9565
5.72 2.0084999999999997 2.2864999999999998
13.0 2.2295 1.9155
3.7199999999999998 2.0645 1.9535
9.559999999999999 2.2784999999999997 1.8115
4.5200000000000005 1.8075 2.2725
36.92 2.1915 1.8385
37.96 1.9645 1.8935
9.96 1.8845 2.0595
36.28 2.0985 2.2224999999999997
38.36 1.9115 1.8215000000000001
3.4000000000000004 2.0635 2.2754999999999996
33.879999999999995 2.2325 2.1005
7.32 1.9485 1.9945
36.120000000000005 2.2914999999999996 1.9805
13.08 1.8545 2.0095
17.16 1.8925 2.0885
1.08 2.0845 2.2235
36.44 2.0005 1.8165
11.240000000000002 2.1555 2.2885
31.64 1.8475 1.9595
6.5200000000000005 2.2015 1.9235
5.5600000000000005 1.9445 2.0535
39.48 2.1515 2.0244999999999997
9.48 2.2064999999999997 2.2335
7.48 1.8575 2.2624999999999997
0.6 2.1345 2.0685
38.519999999999996 1.8025 1.8835
8.52 2.0495 1.8225
10.920000000000002 2.0185 2.2714999999999996
21.560000000000002 1.8895 1.8075
7.880000000000001 1.9184999999999999 2.2474999999999996
7.4 1.8795 1.9705
39.8 2.0265 1.8615
33.64 1.9025 1.8015
35.08 1.8485 1.8855
13.56 1.8365 2.2344999999999997
18.759999999999998 1.8915 2.1755
4.84 2.2565 1.8145
22.919999999999998 2.2704999999999997 2.2784999999999997
11.959999999999999 1.9605 2.2464999999999997
9.879999999999999 2.2975 2.1685
16.599999999999998 1.8875 2.2415
4.44 2.1595 1.8405
21.880000000000003 1.9725 2.0495
15.8 2.2024999999999997 2.2485
6.04 2.2515 1.8755
0.76 2.0215 2.1814999999999998
39.56 1.8775 1.8845
30.68 1.8415 2.2855
34.92 1.8055 1.9825
27.639999999999997 1.8095 1.9045
26.520000000000003 2.2864999999999998 1.9505
24.36 2.1715 2.2245
9.24 2.1445 1.8285
27.32 1.8935 2.0655
10.120000000000001 2.0315 1.9845
12.04 1.8165 2.1185
30.76 2.2925 2.2634999999999996
35.72 2.2175 2.1845
4.680000000000001 1.9415 2.1245
12.12 1.9015 1.9695
28.119999999999997 1.9505 2.2704999999999997
38.28 1.8505 1.9965
19.56 1.9375 2.2515
18.12 2.0885 2.2935
1.24 2.2805 2.0305
16.439999999999998 2.2965 2.1725
34.36 1.9495 1.8425
22.12 1.8675 2.2775
11.16 1.8595 1.8315000000000001
11.879999999999999 2.0925 1.8415
26.68 1.8695 2.0075
8.28 1.9755 2.0965
26.12 1.8515 1.9475
26.92 1.8745 2.2595
1.48 2.1505 1.8955
1.56 2.0324999999999998 2.0364999999999998
16.52 2.0235 1.8155000000000001
4.12 2.1265 1.9435
30.44 2.0395 1.8445
30.04 2.1125 1.8295000000000001
11.319999999999999 1.8765 2.1355
5.8 2.2855 1.9285
22.599999999999998 1.9145 2.0725
22.44 1.8085 1.9495
27.160000000000004 2.2184999999999997 1.9255
10.600000000000001 1.8385 1.8905
3.88 2.2195 2.1345
14.12 2.1654999999999998 2.2005
10.36 1.9475 1.9325
37.08 1.8555 2.0575
14.92 2.0244999999999997 1.8995
30.84 2.2954999999999997 1.8005
23.08 1.9304999999999999 1.8515
17.48 2.2504999999999997 2.2135
20.12 2.0425 2.2405
14.84 1.8135000000000001 1.8675
2.36 2.0375 2.0985
22.519999999999996 1.9335 2.1774999999999998
26.6 2.2435 1.8335000000000001
19.8 2.0805 1.8455
36.36 2.1055 1.9425
24.28 1.9224999999999999 2.2355
35.64 2.0455 1.8915
39.88 1.9295 2.2115
18.36 1.8105 1.9125
29.56 1.9344999999999999 1.8545
14.04 2.1205 2.2495
30.92 2.2845 2.1265
21.96 2.2535 2.1294999999999997
24.759999999999998 2.0765 1.8765
15.24 1.8585 1.9245
11.0 2.1795 1.9445
31.400000000000002 2.2765 1.9625
6.12 2.2125 2.0295
31.8 2.1814999999999998 2.2975
4.92 2.2994999999999997 2.1574999999999998
27.959999999999997 2.2554999999999996 2.0035
5.96 2.2405 1.9725
25.64 1.9525 1.9605
31.96 2.2624999999999997 1.8525
14.2 1.9825 1.8535
35.8 1.9105 1.9105
23.0 2.1035 2.2984999999999998
13.4 1.8835 2.1925
35.88 1.9545 1.9555
18.6 1.9195 2.0345
39.72 2.0105 1.9955
0.2 2.2045 1.9775
37.480000000000004 2.2575 2.0375
29.64 2.2095 1.8705
21.0 2.1774999999999998 2.1374999999999997
9.399999999999999 1.9215 2.1875
10.04 2.1185 1.9545
11.799999999999999 1.9205 1.8785
15.96 2.1214999999999997 1.8645
8.92 2.2744999999999997 2.0105
39.16 2.1435 1.8685
19.08 2.0125 2.1014999999999997
31.880000000000003 1.9845 1.9315
36.04 2.2634999999999996 1.9205
33.16 2.2895 2.0315
37.0 2.2035 1.9055
34.28 2.1334999999999997 1.8565
12.44 1.9385 2.0505
13.48 1.9585 2.1864999999999997
16.04 2.0155 2.2834999999999996
14.28 2.0415 2.2304999999999997
16.200000000000003 1.8905 1.8715
12.2 2.1975 1.8465
8.040000000000001 2.2315 2.1784999999999997
18.84 1.9875 1.8775
0.68 2.2655 2.1505
29.48 2.2365 2.2874999999999996
4.28 2.1694999999999998 1.9895
16.68 1.9695 2.0645
13.32 2.0795 1.9925
36.2 1.8425 2.2895
2.12 2.2824999999999998 2.0925
24.68 1.9835 2.1125
23.799999999999997 2.0524999999999998 1.8195000000000001
7.0 2.1704999999999997 2.1694999999999998
32.28 2.1854999999999998 1.9184999999999999
5.64 2.1105 2.2165
9.719999999999999 2.1385 2.0185
34.04 1.9325 2.0905
19.64 1.9285 1.8975
22.200000000000003 1.9895 2.2184999999999997
30.28 2.2455 2.0585
30.36 2.1225 1.8945
26.36 1.9985 1.8245
21.8 2.2005 2.0045
28.759999999999998 1.9915 1.8795
27.240000000000002 2.0345 1.9215
3.96 2.0695 2.1734999999999998
12.84 2.1045 2.1905
16.84 2.1835 1.8665
17.64 2.0204999999999997 2.1885
34.2 2.0364999999999998 2.2645
17.96 2.1534999999999997 2.2815
17.24 2.1685 1.9275
35.0 1.9575 2.2544999999999997
37.32 1.8195000000000001 2.2325
32.36 1.8985 2.2075
13.959999999999999 2.0075 2.1475
28.599999999999998 1.9405000000000001 2.2085
7.08 2.2815 2.1035
28.68 2.2205 2.1285
20.68 2.0545 1.9195
15.4 2.2115 2.0195
39.32 1.8335000000000001 2.1385
32.92 1.9635 2.0115
35.24 2.0275 2.0225
23.24 2.1665 1.9385
32.120000000000005 1.9665 2.1715
0.9199999999999999 2.1155 2.1534999999999997
39.08 1.8685 2.1995
24.2 2.0515 2.1635
14.68 2.1365 1.9715
34.519999999999996 1.9065 1.9935
6.44 2.0745 2.0995
38.44 2.0035 2.2565
34.76 2.1925 1.9785
21.400000000000002 1.9745 1.9344999999999999
10.440000000000001 2.2525 2.0665
28.279999999999998 2.1614999999999998 1.9485
25.880000000000003 2.0115 2.2794999999999996
17.88 2.0895 1.9585
23.64 2.1734999999999998 2.0564999999999998
31.720000000000002 2.1864999999999997 2.0455
35.480000000000004 1.8705 2.1555
23.32 2.2075 2.2744999999999997
20.92 2.1195 2.2435
12.76 2.0025 2.0865
9.32 2.1935 2.0835
26.28 2.2445 2.2394999999999996
25.8 2.0335 2.2205
20.2 2.1405 1.9815
5.24 2.1454999999999997 2.0465
4.6000000000000005 2.1315 2.1134999999999997
19.0 2.1134999999999997 2.1704999999999997
22.28 2.2695 2.2104999999999997
29.96 2.0195 2.1325
9.08 2.1305 2.0845
36.760000000000005 2.0444999999999998 1.9575
26.04 2.2885 2.1414999999999997
16.279999999999998 2.1944999999999997 2.1515
32.04 2.0475 1.9355
22.839999999999996 2.0065 1.9855
10.760000000000002 2.1374999999999997 2.1435
25.4 2.2355 2.1745
38.04 1.9245 2.1494999999999997
37.8 1.9155 2.0404999999999998
11.639999999999999 2.0595 2.1094999999999997
15.0 2.1485 2.1115
18.2 2.1645 2.0425
13.72 2.1025 2.0715
33.72 1.9995 2.0755
38.76 1.9655 2.0765
17.0 2.0555 2.0635
24.92 2.0435 2.0934999999999997
35.96 1.9775 2.1275
36.84 1.9795 2.1895
19.16 2.1005 2.0284999999999997
19.96 2.0785 2.1195
27.56 2.0995 1.9415
30.52 2.0775 1.9875
24.52 2.0655 1.9915
27.400000000000002 1.9955 2.0235
20.84 2.1275 2.0815
28.919999999999998 2.1475 2.0805
26.76 2.1755 2.1654999999999998
38.92 2.0355 2.2024999999999997
39.4 2.1745 2.1835
25.48 2.0955 2.2315
38.199999999999996 2.0825 2.1614999999999998
34.84 2.1355 2.0055
31.0 2.1464999999999996 2.2064999999999997
32.2 2.0975 2.0435
35.56 2.1414999999999997 2.1595
31.560000000000002 2.0965 2.2445
36.68 2.1085 2.1075
29.16 2.0755 2.1935
27.88 2.1165 2.1485
33.8 2.0585 2.1205
29.72 2.0875 2.0975
26.200000000000003 2.1285 2.0135
25.32 2.1014999999999997 2.0695
27.799999999999997 2.0564999999999998 2.0385
